CPI_type,variable,value
CPI (overall index),2008-01-01,3.6
All goods,2008-01-01,3.3
"Food, alcoholic beverages & tobacco",2008-01-01,7.6
Processed food & non-alcoholic beverages,2008-01-01,9.3
Non-processed food,2008-01-01,8.8
Seasonal food,2008-01-01,7.5
Meat,2008-01-01,10.5
Alcoholic beverages & tobacco,2008-01-01,3.9
Industrial goods,2008-01-01,1.7
*Energy,2008-01-01,17.0
"Electricity, gas & miscellaneous energy",2008-01-01,17.5
"Liquid fuels, vehicle fuels & lubricants",2008-01-01,16.1
Non-energy industrial goods,2008-01-01,-1.6
Clothing & footwear goods,2008-01-01,-6.7
Housing goods,2008-01-01,2.6
Household goods,2008-01-01,1.8
Water supply; materials for maintenance & repair,2008-01-01,5.8
"Medical products, appliances & equipment",2008-01-01,0.8
"Vehicles, spare parts & accessories",2008-01-01,-1.6
Recreational goods,2008-01-01,-3.4
Audio-visual goods,2008-01-01,-14.1
Other recreational goods,2008-01-01,1.3
Miscellaneous goods,2008-01-01,2.5
All services,2008-01-01,4.0
Housing services,2008-01-01,3.8
Actual rentals for housing,2008-01-01,3.3
Primary housing services,2008-01-01,4.9
Other housing services,2008-01-01,4.5
Travel & transport services,2008-01-01,6.2
Services for personal transport equipment,2008-01-01,4.8
Transport services,2008-01-01,7.8
Transport insurance,2008-01-01,1.8
Communication,2008-01-01,-2.6
Recreational & personal services,2008-01-01,3.7
Package holidays & accommodation,2008-01-01,3.2
Other recreational & personal services,2008-01-01,3.9
Catering services,2008-01-01,4.1
Non-catering recreational & personal services,2008-01-01,3.1
Miscellaneous & other services,2008-01-01,4.9
Miscellaneous services,2008-01-01,2.5
Medical services,2008-01-01,4.8
Education,2008-01-01,11.7
Durables,2008-01-01,-2.2
Semi-durables,2008-01-01,-3.8
Non-durables,2008-01-01,3.2
Seasonal food,2008-01-01,7.5
Non-seasonal food,2008-01-01,11.2
"Energy, food, alcoholic beverages & tobacco",2008-01-01,10.6
Energy & unprocessed food,2008-01-01,13.6
Energy & seasonal food,2008-01-01,14.3
Tobacco,2008-01-01,4.4
"Housing, water, electricity, gas & other fuels",2008-01-01,8.6
"Education, health & social protection 2",2008-01-01,6.4
Energy,2008-01-01,2.6
"Energy, food, alcoholic beverages & tobacco",2008-01-01,1.6
Energy & unprocessed food,2008-01-01,2.2
Seasonal food,2008-01-01,3.5
Energy & seasonal food,2008-01-01,2.4
Tobacco,2008-01-01,3.6
Alcoholic beverages & tobacco,2008-01-01,3.6
"Liquid fuels, vehicle fuels & lubricants",2008-01-01,3.1
"Housing, water, electricity, gas & other fuels",2008-01-01,2.9
"Education, health & social protection",2008-01-01,3.4
CPI (overall index),2009-01-01,2.2
All goods,2009-01-01,1.3
"Food, alcoholic beverages & tobacco",2009-01-01,5.2
Processed food & non-alcoholic beverages,2009-01-01,5.0
Non-processed food,2009-01-01,5.9
Seasonal food,2009-01-01,5.4
Meat,2009-01-01,6.6
Alcoholic beverages & tobacco,2009-01-01,4.4
Industrial goods,2009-01-01,-0.2
*Energy,2009-01-01,0.2
"Electricity, gas & miscellaneous energy",2009-01-01,9.1
"Liquid fuels, vehicle fuels & lubricants",2009-01-01,-9.1
Non-energy industrial goods,2009-01-01,-0.3
Clothing & footwear goods,2009-01-01,-7.9
Housing goods,2009-01-01,3.9
Household goods,2009-01-01,3.3
Water supply; materials for maintenance & repair,2009-01-01,6.4
"Medical products, appliances & equipment",2009-01-01,1.2
"Vehicles, spare parts & accessories",2009-01-01,1.5
Recreational goods,2009-01-01,-1.4
Audio-visual goods,2009-01-01,-11.5
Other recreational goods,2009-01-01,2.4
Miscellaneous goods,2009-01-01,3.1
All services,2009-01-01,3.2
Housing services,2009-01-01,2.1
Actual rentals for housing,2009-01-01,1.8
Primary housing services,2009-01-01,2.9
Other housing services,2009-01-01,2.0
Travel & transport services,2009-01-01,5.4
Services for personal transport equipment,2009-01-01,2.9
Transport services,2009-01-01,7.1
Transport insurance,2009-01-01,10.3
Communication,2009-01-01,1.0
Recreational & personal services,2009-01-01,3.2
Package holidays & accommodation,2009-01-01,3.8
Other recreational & personal services,2009-01-01,3.0
Catering services,2009-01-01,2.8
Non-catering recreational & personal services,2009-01-01,3.3
Miscellaneous & other services,2009-01-01,3.0
Miscellaneous services,2009-01-01,1.1
Medical services,2009-01-01,3.9
Education,2009-01-01,7.6
Durables,2009-01-01,0.8
Semi-durables,2009-01-01,-3.9
Non-durables,2009-01-01,4.0
Seasonal food,2009-01-01,5.4
Non-seasonal food,2009-01-01,5.6
"Energy, food, alcoholic beverages & tobacco",2009-01-01,3.5
Energy & unprocessed food,2009-01-01,2.5
Energy & seasonal food,2009-01-01,1.6
Tobacco,2009-01-01,4.0
"Housing, water, electricity, gas & other fuels",2009-01-01,4.3
"Education, health & social protection 2",2009-01-01,4.9
Energy,2009-01-01,2.3
"Energy, food, alcoholic beverages & tobacco",2009-01-01,1.8
Energy & unprocessed food,2009-01-01,2.1
Seasonal food,2009-01-01,2.1
Energy & seasonal food,2009-01-01,2.2
Tobacco,2009-01-01,2.1
Alcoholic beverages & tobacco,2009-01-01,2.1
"Liquid fuels, vehicle fuels & lubricants",2009-01-01,2.6
"Housing, water, electricity, gas & other fuels",2009-01-01,1.9
"Education, health & social protection",2009-01-01,2.0
CPI (overall index),2010-01-01,3.3
All goods,2010-01-01,3.1
"Food, alcoholic beverages & tobacco",2010-01-01,4.0
Processed food & non-alcoholic beverages,2010-01-01,3.3
Non-processed food,2010-01-01,3.5
Seasonal food,2010-01-01,5.5
Meat,2010-01-01,0.9
Alcoholic beverages & tobacco,2010-01-01,5.5
Industrial goods,2010-01-01,2.8
*Energy,2010-01-01,6.1
"Electricity, gas & miscellaneous energy",2010-01-01,-4.1
"Liquid fuels, vehicle fuels & lubricants",2010-01-01,17.4
Non-energy industrial goods,2010-01-01,1.9
Clothing & footwear goods,2010-01-01,-1.1
Housing goods,2010-01-01,3.8
Household goods,2010-01-01,3.2
Water supply; materials for maintenance & repair,2010-01-01,6.2
"Medical products, appliances & equipment",2010-01-01,0.6
"Vehicles, spare parts & accessories",2010-01-01,4.3
Recreational goods,2010-01-01,0.1
Audio-visual goods,2010-01-01,-5.7
Other recreational goods,2010-01-01,2.2
Miscellaneous goods,2010-01-01,3.0
All services,2010-01-01,3.6
Housing services,2010-01-01,1.4
Actual rentals for housing,2010-01-01,1.4
Primary housing services,2010-01-01,1.0
Other housing services,2010-01-01,2.1
Travel & transport services,2010-01-01,7.9
Services for personal transport equipment,2010-01-01,3.8
Transport services,2010-01-01,8.8
Transport insurance,2010-01-01,30.7
Communication,2010-01-01,4.9
Recreational & personal services,2010-01-01,3.3
Package holidays & accommodation,2010-01-01,3.6
Other recreational & personal services,2010-01-01,3.2
Catering services,2010-01-01,3.1
Non-catering recreational & personal services,2010-01-01,3.6
Miscellaneous & other services,2010-01-01,2.0
Miscellaneous services,2010-01-01,-0.1
Medical services,2010-01-01,4.9
Education,2010-01-01,5.3
Durables,2010-01-01,2.7
Semi-durables,2010-01-01,
Non-durables,2010-01-01,3.6
Seasonal food,2010-01-01,5.5
Non-seasonal food,2010-01-01,2.0
"Energy, food, alcoholic beverages & tobacco",2010-01-01,4.7
Energy & unprocessed food,2010-01-01,5.1
