"
","Price"
"2010-06-01 00:00:00",42.18
"2010-07-01 00:00:00",43.53
"2010-08-01 00:00:00",39.95
"2010-09-01 00:00:00",41.12
"2010-10-01 00:00:00",43.5
"2010-11-01 00:00:00",46.4
"2010-12-01 00:00:00",58.03
"2011-01-01 00:00:00",48.43
"2011-02-01 00:00:00",46.47
"2011-03-01 00:00:00",51.41
"2011-04-01 00:00:00",50.88
"2011-05-01 00:00:00",50.27
"2011-06-01 00:00:00",50.82
"2011-07-01 00:00:00",47.96
"2011-08-01 00:00:00",47.36
"2011-09-01 00:00:00",48.32
"2011-10-01 00:00:00",46.83
"2011-11-01 00:00:00",46.15
"2011-12-01 00:00:00",43.54
"2012-01-01 00:00:00",42.17
"2012-02-01 00:00:00",49.1
"2012-03-01 00:00:00",45.64
"2012-04-01 00:00:00",45.91
"2012-05-01 00:00:00",43.79
"2012-06-01 00:00:00",42.24
"2012-07-01 00:00:00",42.71
"2012-08-01 00:00:00",41.21
"2012-09-01 00:00:00",43.39
"2012-10-01 00:00:00",47.6
"2012-11-01 00:00:00",49
"2012-12-01 00:00:00",49.76
"2013-01-01 00:00:00",49.96
"2013-02-01 00:00:00",51.44
"2013-03-01 00:00:00",62.9
"2013-04-01 00:00:00",51.3
"2013-05-01 00:00:00",48.89
"2013-06-01 00:00:00",47.31
"2013-07-01 00:00:00",48.73
"2013-08-01 00:00:00",47.31
"2013-09-01 00:00:00",49.63
"2013-10-01 00:00:00",48.22
"2013-11-01 00:00:00",53.05
"2013-12-01 00:00:00",50.81
"2014-01-01 00:00:00",47.67
"2014-02-01 00:00:00",45.15
"2014-03-01 00:00:00",44.41
"2014-04-01 00:00:00",41.77
"2014-05-01 00:00:00",39.62
"2014-06-01 00:00:00",36.67
"2014-07-01 00:00:00",35.46
"2014-08-01 00:00:00",37.95
"2014-09-01 00:00:00",43.28
"2014-10-01 00:00:00",44.81
"2014-11-01 00:00:00",48.43
"2014-12-01 00:00:00",43.96
"2015-01-01 00:00:00",39.86
"2015-02-01 00:00:00",42.86
"2015-03-01 00:00:00",40.91
"2015-04-01 00:00:00",43.97
"2015-05-01 00:00:00",41.21
"2015-06-01 00:00:00",41.66
"2015-07-01 00:00:00",42.2
"2015-08-01 00:00:00",40.86
"2015-09-01 00:00:00",42.04
"2015-10-01 00:00:00",40.29
"2015-11-01 00:00:00",38.01
"2015-12-01 00:00:00",35.07
"2016-01-01 00:00:00",36.95
"2016-02-01 00:00:00",33.85
"2016-03-01 00:00:00",34.76
"2016-04-01 00:00:00",34.37
"2016-05-01 00:00:00",34.61
"2016-06-01 00:00:00",37.51
"2016-07-01 00:00:00",38.4
"2016-08-01 00:00:00",36.51
"2016-09-01 00:00:00",51.13
"2016-10-01 00:00:00",56.03
"2016-11-01 00:00:00",67.54
"2016-12-01 00:00:00",49.87
"2017-01-01 00:00:00",53.37
"2017-02-01 00:00:00",49.49
"2017-03-01 00:00:00",41.99
"2017-04-01 00:00:00",42.1
"2017-05-01 00:00:00",41.24
"2017-06-01 00:00:00",39.68
"2017-07-01 00:00:00",43.05
"2017-08-01 00:00:00",43.34
"2017-09-01 00:00:00",47.17
"2017-10-01 00:00:00",46.68
"2017-11-01 00:00:00",51.45
"2017-12-01 00:00:00",56.18
"2018-01-01 00:00:00",50.84
"2018-02-01 00:00:00",53.68
"2018-03-01 00:00:00",56.79
"2018-04-01 00:00:00",50.74
"2018-05-01 00:00:00",54.25
"2018-06-01 00:00:00",54
"2018-07-01 00:00:00",57.61
"2018-08-01 00:00:00",61.94
"2018-09-01 00:00:00",67.69
"2018-10-01 00:00:00",64.76
"2018-11-01 00:00:00",62.19
"2018-12-01 00:00:00",64.32
"2019-01-01 00:00:00",62.55
"2019-02-01 00:00:00",50.27
"2019-03-01 00:00:00",44.96
"2019-04-01 00:00:00",43.87
"2019-05-01 00:00:00",41.35
"2019-06-01 00:00:00",39.4
"2019-07-01 00:00:00",41.86
"2019-08-01 00:00:00",39.62
"2019-09-01 00:00:00",37.32
"2019-10-01 00:00:00",37.74
"2019-11-01 00:00:00",46.04
"2019-12-01 00:00:00",39.94
"2020-01-01 00:00:00",35.93
"2020-02-01 00:00:00",32.04
"2020-03-01 00:00:00",33.22
"2020-04-01 00:00:00",24.01
"2020-05-01 00:00:00",24.13
"2020-06-01 00:00:00",28.42
"2020-07-01 00:00:00",31.28
"2020-08-01 00:00:00",37.88
"2020-09-01 00:00:00",45.3
"2020-10-01 00:00:00",44.65
"2020-11-01 00:00:00",46.83
"2020-12-01 00:00:00",59.57
"2021-01-01 00:00:00",90.94
"2021-02-01 00:00:00",56.46
"2021-03-01 00:00:00",57.18
"2021-04-01 00:00:00",69.38
"2021-05-01 00:00:00",78.04
"2021-06-01 00:00:00",79.31
"2021-07-01 00:00:00",94.51
"2021-08-01 00:00:00",108.58
"2021-09-01 00:00:00",230.66
"2021-10-01 00:00:00",192.47
"2021-11-01 00:00:00",209.55
"2021-12-01 00:00:00",262.52
"2022-01-01 00:00:00",206.88
"2022-02-01 00:00:00",166.93
"2022-03-01 00:00:00",263.79
"2022-04-01 00:00:00",180.6
"2022-05-01 00:00:00",116.38
"2022-06-01 00:00:00",173.11
"2022-07-01 00:00:00",261.93
"2022-08-01 00:00:00",363.71
"2022-09-01 00:00:00",270.67
"2022-10-01 00:00:00",110.01
"2022-11-01 00:00:00",133.06
"2022-12-01 00:00:00",279.91
"2023-01-01 00:00:00",132.43
