"
","Price"
"2009-10-01 00:00:00",25.18
"2009-11-01 00:00:00",26.99
"2009-12-01 00:00:00",31.42
"2010-01-01 00:00:00",39.77
"2010-02-01 00:00:00",35.78
"2010-03-01 00:00:00",32.14
"2010-04-01 00:00:00",32.79
"2010-05-01 00:00:00",39.49
"2010-06-01 00:00:00",42.15
"2010-07-01 00:00:00",45.94
"2010-08-01 00:00:00",42.61
"2010-09-01 00:00:00",40.77
"2010-10-01 00:00:00",46
"2010-11-01 00:00:00",49.66
"2010-12-01 00:00:00",62.26
"2011-01-01 00:00:00",55.98
"2011-02-01 00:00:00",53.74
"2011-03-01 00:00:00",60.39
"2011-04-01 00:00:00",57.23
"2011-05-01 00:00:00",57.01
"2011-06-01 00:00:00",58.25
"2011-07-01 00:00:00",55.09
"2011-08-01 00:00:00",54.06
"2011-09-01 00:00:00",53.64
"2011-10-01 00:00:00",56.05
"2011-11-01 00:00:00",58.15
"2011-12-01 00:00:00",56.04
"2012-01-01 00:00:00",54.43
"2012-02-01 00:00:00",65.41
"2012-03-01 00:00:00",58.44
"2012-04-01 00:00:00",59.94
"2012-05-01 00:00:00",57.01
"2012-06-01 00:00:00",55.15
"2012-07-01 00:00:00",55.6
"2012-08-01 00:00:00",54.53
"2012-09-01 00:00:00",60.45
"2012-10-01 00:00:00",64.35
"2012-11-01 00:00:00",65.63
"2012-12-01 00:00:00",65.5
"2013-01-01 00:00:00",66.83
"2013-02-01 00:00:00",68.88
"2013-03-01 00:00:00",86.57
"2013-04-01 00:00:00",69.98
"2013-05-01 00:00:00",66.14
"2013-06-01 00:00:00",60.47
"2013-07-01 00:00:00",65.23
"2013-08-01 00:00:00",64.65
"2013-09-01 00:00:00",65.71
"2013-10-01 00:00:00",65.08
"2013-11-01 00:00:00",68.29
"2013-12-01 00:00:00",69.35
"2014-01-01 00:00:00",65.1
"2014-02-01 00:00:00",58.86
"2014-03-01 00:00:00",56.53
"2014-04-01 00:00:00",49.89
"2014-05-01 00:00:00",45.33
"2014-06-01 00:00:00",39.5
"2014-07-01 00:00:00",37.51
"2014-08-01 00:00:00",40.61
"2014-09-01 00:00:00",48.43
"2014-10-01 00:00:00",50.42
"2014-11-01 00:00:00",54.84
"2014-12-01 00:00:00",53.62
"2015-01-01 00:00:00",46.1
"2015-02-01 00:00:00",50.47
"2015-03-01 00:00:00",47.23
"2015-04-01 00:00:00",46.86
"2015-05-01 00:00:00",44.09
"2015-06-01 00:00:00",43.37
"2015-07-01 00:00:00",43.47
"2015-08-01 00:00:00",39.69
"2015-09-01 00:00:00",41.04
"2015-10-01 00:00:00",39.56
"2015-11-01 00:00:00",35.9
"2015-12-01 00:00:00",34.03
"2016-01-01 00:00:00",32.05
"2016-02-01 00:00:00",29.66
"2016-03-01 00:00:00",29.6
"2016-04-01 00:00:00",29.44
"2016-05-01 00:00:00",30.41
"2016-06-01 00:00:00",34.2
"2016-07-01 00:00:00",34.3
"2016-08-01 00:00:00",30.36
"2016-09-01 00:00:00",28.36
"2016-10-01 00:00:00",42.83
"2016-11-01 00:00:00",48.12
"2016-12-01 00:00:00",46.53
"2017-01-01 00:00:00",53.39
"2017-02-01 00:00:00",51.01
"2017-03-01 00:00:00",41.02
"2017-04-01 00:00:00",39.73
"2017-05-01 00:00:00",39.29
"2017-06-01 00:00:00",34.84
"2017-07-01 00:00:00",36.21
"2017-08-01 00:00:00",42.57
"2017-09-01 00:00:00",46
"2017-10-01 00:00:00",45.4
"2017-11-01 00:00:00",52.95
"2017-12-01 00:00:00",58.29
"2018-01-01 00:00:00",50.44
"2018-02-01 00:00:00",58.96
"2018-03-01 00:00:00",64.3
"2018-04-01 00:00:00",50.94
"2018-05-01 00:00:00",55.58
"2018-06-01 00:00:00",54.97
"2018-07-01 00:00:00",57.93
"2018-08-01 00:00:00",62.83
"2018-09-01 00:00:00",73.72
"2018-10-01 00:00:00",66.53
"2018-11-01 00:00:00",64.37
"2018-12-01 00:00:00",63.74
"2019-01-01 00:00:00",57.71
"2019-02-01 00:00:00",47.09
"2019-03-01 00:00:00",39.31
"2019-04-01 00:00:00",34.98
"2019-05-01 00:00:00",31.43
"2019-06-01 00:00:00",27.96
"2019-07-01 00:00:00",29.6
"2019-08-01 00:00:00",27.75
"2019-09-01 00:00:00",24.87
"2019-10-01 00:00:00",25.65
"2019-11-01 00:00:00",38.04
"2019-12-01 00:00:00",32.14
"2020-01-01 00:00:00",27.9
"2020-02-01 00:00:00",23.5
"2020-03-01 00:00:00",22.92
"2020-04-01 00:00:00",13.75
"2020-05-01 00:00:00",11.59
"2020-06-01 00:00:00",13.18
"2020-07-01 00:00:00",13.24
"2020-08-01 00:00:00",20.22
"2020-09-01 00:00:00",29.9
"2020-10-01 00:00:00",38.23
"2020-11-01 00:00:00",37.57
"2020-12-01 00:00:00",45.69
"2021-01-01 00:00:00",59.01
"2021-02-01 00:00:00",45.94
"2021-03-01 00:00:00",44.96
"2021-04-01 00:00:00",54.77
"2021-05-01 00:00:00",65.2
"2021-06-01 00:00:00",72.01
"2021-07-01 00:00:00",90.88
"2021-08-01 00:00:00",110.04
"2021-09-01 00:00:00",162.1
"2021-10-01 00:00:00",213.76
"2021-11-01 00:00:00",201.13
"2021-12-01 00:00:00",270.96
"2022-01-01 00:00:00",203.75
"2022-02-01 00:00:00",187.72
"2022-03-01 00:00:00",313.57
"2022-04-01 00:00:00",186.13
"2022-05-01 00:00:00",105.31
"2022-06-01 00:00:00",149.49
"2022-07-01 00:00:00",247.71
"2022-08-01 00:00:00",356
"2022-09-01 00:00:00",263.44
"2022-10-01 00:00:00",109.26
"2022-11-01 00:00:00",138.42
"2022-12-01 00:00:00",277.14
"2023-01-01 00:00:00",152.45
"2023-02-01 00:00:00",134.54
"2023-03-01 00:00:00",107.97
"2023-04-01 00:00:00",101.47
"2023-05-01 00:00:00",73.53
"2023-06-01 00:00:00",80.52
"2023-07-01 00:00:00",71.58
