year,variable,value
2002,Bicycle,0.020365732566690845
2002,Bus,0.05982290416360665
2002,Car,0.6313611197711388
2002,Other,0.020202422843738098
2002,Rail,0.022522981296269385
2002,Walk,0.24572483935855238
2003,Bicycle,0.019301710799906106
2003,Bus,0.06122219049258136
2003,Car,0.6222868947864395
2003,Other,0.021177861426681124
2003,Rail,0.02212858227178313
2003,Walk,0.253882760222606
2004,Bicycle,0.019636364068221994
2004,Bus,0.06083534731864671
2004,Car,0.6158899424741655
2004,Other,0.020196749446176398
2004,Rail,0.024205338676609324
2004,Walk,0.2592362580161775
2005,Bicycle,0.017906900635622766
2005,Bus,0.058608438573937056
2005,Car,0.625047173518708
2005,Other,0.02141848940162997
2005,Rail,0.023149420915916978
2005,Walk,0.25386957695418166
2006,Bicycle,0.01943997423513981
2006,Bus,0.060969727026316305
2006,Car,0.6171599762306906
2006,Other,0.019652306480267813
2006,Rail,0.024857943071885488
2006,Walk,0.25792007295569863
2007,Bicycle,0.018033748642753807
2007,Bus,0.0650226686844249
2007,Car,0.6292701854287592
2007,Other,0.020249179042531273
2007,Rail,0.027288980732076203
2007,Walk,0.24013523746945384
2008,Bicycle,0.02056625018358916
2008,Bus,0.06458527365910645
2008,Car,0.6270626975763015
2008,Other,0.020837221528450592
2008,Rail,0.02847695837639653
2008,Walk,0.23847159867615741
2009,Bicycle,0.019565256408807703
2009,Bus,0.06772071134438028
2009,Car,0.613292385029603
2009,Other,0.0208832347825271
2009,Rail,0.027524610976793654
2009,Walk,0.2510138014578886
2010,Bicycle,0.018580186841921944
2010,Bus,0.06869949687501453
2010,Car,0.625573843435974
2010,Other,0.019314977908092196
2010,Rail,0.029200407316857142
2010,Walk,0.23863108762213936
2011,Bicycle,0.020562690299535377
2011,Bus,0.06511940699736528
2011,Car,0.6190210394668408
2011,Other,0.019307132567388117
2011,Rail,0.02715002417738813
2011,Walk,0.24883970649148202
2012,Bicycle,0.021134426987699677
2012,Bus,0.06238784550529531
2012,Car,0.6269428060559251
2012,Other,0.020172448399316784
2012,Rail,0.029394654683627817
2012,Walk,0.23996781836813597
2013,Bicycle,0.018459251241753
2013,Bus,0.06720928856387151
2013,Car,0.625590944212236
2013,Other,0.02089253379878334
2013,Rail,0.03134114717890413
2013,Walk,0.23650683500445221
2014,Bicycle,0.022687927136722293
2014,Bus,0.06383397812050341
2014,Car,0.6264996118080629
2014,Other,0.020023122257296862
2014,Rail,0.03314364408660388
2014,Walk,0.23381171659081065
2015,Bicycle,0.021145861236650822
2015,Bus,0.06641001653075226
2015,Car,0.6257894571655753
2015,Other,0.020523173647354103
2015,Rail,0.031301322991193085
2015,Walk,0.23483016842847385
2016,Bicycle,0.018629088004597637
2016,Bus,0.05459000715056098
2016,Car,0.6191916810378058
2016,Other,0.020735744826479337
2016,Rail,0.032447179287814806
2016,Walk,0.2544062996927413
2017,Bicycle,0.020361071086858532
2017,Bus,0.05706998235549938
2017,Car,0.6097984460004938
2017,Other,0.019599929774803494
2017,Rail,0.031751175385369375
2017,Walk,0.26141939539697523
2018,Bicycle,0.0192119607332841
2018,Bus,0.04889192872119317
2018,Car,0.6108052167841619
2018,Other,0.021624775888244727
2018,Rail,0.033356917295706265
2018,Walk,0.2661092005774099
2019,Bicycle,0.019256284065096753
2019,Bus,0.052802747585348184
2019,Car,0.6089974592994576
2019,Other,0.02180038977210068
2019,Rail,0.03481569321763426
2019,Walk,0.2623274260603616
2020,Bicycle,0.029747365146751806
2020,Bus,0.029991034550589418
2020,Car,0.5811769001556294
2020,Other,0.017947419878775066
2020,Rail,0.021110975940830095
2020,Walk,0.3200263043274242
2021,Bicycle,0.021600755813374256
2021,Bus,0.035079545435850575
2021,Car,0.5913996809838197
2021,Other,0.016948849386226324
2021,Rail,0.02479773399530225
2021,Walk,0.31017343438542794
2022,Bicycle,0.020135460209753136
2022,Bus,0.04401434022209001
2022,Car,0.5815120192456401
2022,Other,0.018494636847468247
2022,Rail,0.026498248981064905
2022,Walk,0.30934529449398396
