year,variable,value
2002,Bicycle,0.05203160614798142
2002,Bus,0.07877148148210847
2002,Car,0.6863532824330595
2002,Other,0.013850363375151371
2002,Rail,0.06952961792478092
2002,Walk,0.09946364863691774
2003,Bicycle,0.05171664377263275
2003,Bus,0.0769374750512436
2003,Car,0.6849210669860831
2003,Other,0.020020677085585904
2003,Rail,0.06745839819806941
2003,Walk,0.09894573890638715
2004,Bicycle,0.04843090989891416
2004,Bus,0.07534560177658325
2004,Car,0.6560251387609042
2004,Other,0.01738321942723428
2004,Rail,0.07396326306101793
2004,Walk,0.12885186707534527
2005,Bicycle,0.042145415380796386
2005,Bus,0.0803064209926999
2005,Car,0.6752900717346284
2005,Other,0.016697860227520574
2005,Rail,0.07130294188770853
2005,Walk,0.1142572897766467
2006,Bicycle,0.0455499544766965
2006,Bus,0.07641424224735191
2006,Car,0.6696196806475722
2006,Other,0.016279555352269454
2006,Rail,0.0770343658329034
2006,Walk,0.11510220144320422
2007,Bicycle,0.043931802488539756
2007,Bus,0.07380860034667444
2007,Car,0.6782801722179943
2007,Other,0.010930062419103579
2007,Rail,0.07636524791656926
2007,Walk,0.11668411461111881
2008,Bicycle,0.050352068234945806
2008,Bus,0.07993730074780747
2008,Car,0.6561411596002604
2008,Other,0.013635897207060193
2008,Rail,0.0903717604425446
2008,Walk,0.10956181376738204
2009,Bicycle,0.04979012006731805
2009,Bus,0.0856355712774493
2009,Car,0.6544397881793362
2009,Other,0.01595708645524786
2009,Rail,0.08134411710644332
2009,Walk,0.1128333169142045
2010,Bicycle,0.04204917578380049
2010,Bus,0.08681265117982621
2010,Car,0.6577998962399195
2010,Other,0.01221006439407652
2010,Rail,0.08947365650641595
2010,Walk,0.1116545558959599
2011,Bicycle,0.05337121217644133
2011,Bus,0.07963457886784375
2011,Car,0.6597825320832721
2011,Other,0.012066686010648392
2011,Rail,0.08147447997156632
2011,Walk,0.11367051089022562
2012,Bicycle,0.05250916142625068
2012,Bus,0.07690958224455753
2012,Car,0.647462191114478
2012,Other,0.01397104784151397
2012,Rail,0.0856156312798877
2012,Walk,0.12353238609330908
2013,Bicycle,0.045986848545351885
2013,Bus,0.0728066606170303
2013,Car,0.6693714722610502
2013,Other,0.015078271821015485
2013,Rail,0.09061733501507857
2013,Walk,0.10613941174047235
2014,Bicycle,0.05493795520327975
2014,Bus,0.07699217442988662
2014,Car,0.6416163460131779
2014,Other,0.01456690632672471
2014,Rail,0.10149617340271307
2014,Walk,0.11039044462421822
2015,Bicycle,0.05335762627007674
2015,Bus,0.08444374479543089
2015,Car,0.6367539835953041
2015,Other,0.016687307613979213
2015,Rail,0.09233794145272993
2015,Walk,0.11641939627247841
2016,Bicycle,0.04950643800986584
2016,Bus,0.07155674884621806
2016,Car,0.6399824135253256
2016,Other,0.019307951000938964
2016,Rail,0.10549821407379222
2016,Walk,0.11414823454385668
2017,Bicycle,0.05118434597574161
2017,Bus,0.08531863542886756
2017,Car,0.6286473159324277
2017,Other,0.02164745243365197
2017,Rail,0.10088566039557789
2017,Walk,0.11231658983373026
2018,Bicycle,0.04806449348637657
2018,Bus,0.06481274555284743
2018,Car,0.6231671042782401
2018,Other,0.024029957695175352
2018,Rail,0.11123765512084278
2018,Walk,0.12868804386651528
2019,Bicycle,0.04690992313293103
2019,Bus,0.08168515597206807
2019,Car,0.6085711046920045
2019,Other,0.019521617379497164
2019,Rail,0.12273418801616448
2019,Walk,0.12057801080733724
2020,Bicycle,0.05510523528862127
2020,Bus,0.059029167338791405
2020,Car,0.697710215219941
2020,Other,0.02031339590796613
2020,Rail,0.07133988767837733
2020,Walk,0.09650209856630289
2021,Bicycle,0.04730815325103981
2021,Bus,0.05789245372176792
2021,Car,0.675428777455708
2021,Other,0.016928087135229614
2021,Rail,0.09384247914714763
2021,Walk,0.10860004928910641
2022,Bicycle,0.04935111061251526
2022,Bus,0.06684441725916732
2022,Car,0.6607773360175365
2022,Other,0.01603581106476461
2022,Rail,0.07496736577936787
2022,Walk,0.13202395926665209
