type,variable,value
Homeworking only,"Up to £10,000",8
Homeworking only,"£10,000 - £15,000",12
Homeworking only,"£15,000 - £20,000",13
Homeworking only,"£20,000 - £30,000",13
Homeworking only,"£30,000 - £40,000",16
Homeworking only,"£40,000 - £50,000",21
Homeworking only,"£50,000+",27
Hybrid working,"Up to £10,000",5
Hybrid working,"£10,000 - £15,000",12
Hybrid working,"£15,000 - £20,000",16
Hybrid working,"£20,000 - £30,000",23
Hybrid working,"£30,000 - £40,000",33
Hybrid working,"£40,000 - £50,000",38
Hybrid working,"£50,000+",53
"Travelled to work only, can homework","Up to £10,000",12
"Travelled to work only, can homework","£10,000 - £15,000",10
"Travelled to work only, can homework","£15,000 - £20,000",9
"Travelled to work only, can homework","£20,000 - £30,000",9
"Travelled to work only, can homework","£30,000 - £40,000",11
"Travelled to work only, can homework","£40,000 - £50,000",11
"Travelled to work only, can homework","£50,000+",10
"Travelled to work only, cannot homework","Up to £10,000",75
"Travelled to work only, cannot homework","£10,000 - £15,000",66
"Travelled to work only, cannot homework","£15,000 - £20,000",62
"Travelled to work only, cannot homework","£20,000 - £30,000",55
"Travelled to work only, cannot homework","£30,000 - £40,000",40
"Travelled to work only, cannot homework","£40,000 - £50,000",29
"Travelled to work only, cannot homework","£50,000+",10
